분류,메뉴,이미지_URL
한식,김치찌개,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\김치찌개.jpg
한식,된장찌개,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\된장찌개.jpg
한식,비빔밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\비빔밥.jpg
한식,평양냉면,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\평양냉면.jpg
한식,막국수,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\막국수.jpg
한식,콩국수,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\콩국수.jpg
한식,국밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\국밥.jpg
한식,해장국,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\해장국.jpg
한식,설렁탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\설렁탕.jpg
한식,감자탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\감자탕.jpg
한식,순대,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\순대.jpg
한식,닭볶음탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\닭볶음탕.jpg
한식,추어탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\추어탕.jpg
한식,육개장,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\육개장.jpg
한식,대구탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\대구탕.jpg
한식,김밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\김밥.jpg
한식,부대찌개,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\부대찌개.jpg
한식,청국장,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\청국장.jpg
한식,간장게장,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\간장게장.jpg
한식,양념게장,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\양념게장.jpg
한식,삼계탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\삼계탕.jpg
한식,보쌈,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\보쌈.jpg
한식,족발,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\족발.jpg
한식,치킨,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\치킨.jpg
한식,돈까스,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\돈까스.jpg
한식,메밀국수,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\메밀국수.jpg
한식,떡볶이,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\떡볶이.jpg
한식,라면,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\라면.jpg
한식,순두부찌개,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\순두부찌개.jpg
한식,죽,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\죽.jpg
한식,백반,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\백반.jpg
